Id,Name,Created at,Updated at
109,"Beginner Level","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
77,"Level 3","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
76,"Level 2","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
46,"Intermediate (Experienced)","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
45,"Intermediate (New)","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
44,Advanced,"2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
43,"Level 1","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
10,New,"2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
9,"Level 1B","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
7,"Breath Training","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
5,"Level 1A","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
4,"Level 2","2025-05-12 02:45:00 UTC","2025-05-12 02:45:00 UTC"
