Id,Name,Name mm,Name en,Nrc code
464,(လယရ) လှိုင်သာယာ-အရှေ့ပိုင်း,လယရ,LaYaYa,12
463,(ပခန) ပဲခူးမြို့နယ်,ပခန,PaKhaNa,7
462,(ပတရ) ပင်းတရ,ပတရ,PaTaRa,13
461,(ဒဂမသ) ဒဂုံမြို့သစ် - တောင်ပိုင်း,ဒဂမသ,DaGaMaTha,12
460,(ပတလ) ပေါင်းတလည်,ပတလ,PaTaLa,7
459,(ငဆန) ငွေဆောင်,ငဆန,NaHsaNa,14
458,(မလထ) ပန်လုံ,မလထ,MaLaHta,13
457,(မလတ) မိုင်းလုံ,မလတ,MaLaTa,13
456,(ပဆတ) ပန်ဆိုင်း / ကြူကုတ် ,ပဆတ,PaHsaTa,13
455,(မကထ) မန်ကန်,မကထ,MaKaHta,13
454,(တလထ) ကျိုင်းလတ်,တလထ,TaLaHta,13
453,(မထန) မုံးထ,မထန,MaHtaNa,13
452, (မစန ) မိုင်းစံ /မုန်းဆန်း,မစန,MaSaNa,13
451, (ကလဒ) ကာလိ ,ကလဒ,KaLaDa,13
450,(ပဂန) ပုဂံ,ပဂန,PaGaNa,9
449,(ယမန) ယော,ယမန,YaMaNa,8
448,(ပကန) ပိုင်ကျုံ,ပကန,PaKaNa,3
447,(မတန) မေတ္တာ,မတန,MaTaNa,6
446,(မကတ) မုံးကိုး,မကတ,MaKaTa,13
445,(ကကန) ကုန်းကြမ်း,ကကန,KaKaNa,13
444,(ကတလ) ကျောက်တစ်လုံး,ကတလ,KaTaLa,13
443,(ပလန) ပင်လောင်း,ပလန,PaLaNa,13
442,(မတန) မိုင်းတုံ,မတန,MaTaNa,13
441,(မနတ) မိုင်းနောင်,မနတ,MaNaTa,13
440,(မပန) မိုင်းပန်,မပန,MaPaNa,13
439,(ပယန) မက်မန်း,ပယန,PaYaNa,13
438,(မမန) မောက်မယ်,မမန,MaMaNa,13
437,(မယတ) မိုင်းယောင်း,မယတ,MaYaTa,13
436,(မယထ) မိုင်းယု,မယထ,MaYaHta,13
435,(မယန) မိုင်းယန်း,မယန,MaRaNa,13
434,(မလန) မိုင်းလား,မလန,MaLaNa,13
433,(နစန) နမ့်စန်,နစန,NaSaNa,13
432,(မပထ) မိုင်းပေါက် / မိုင်းဖျန်,မပထ,MaPaHta,13
431,(နတန) နမ့်တစ်,နတန,NaTaNa,13
430,(မဟရ) မန်ဟီးရိုး,မဟရ,MaHaRa,13
429,(နဖန) နားဖန်း ,နဖန,NaHpaNa,13
428,(မမထ) မိုင်းမော,မမထ,MaMaHta,13
427,(ပဆန) ပန်ဆန်း,ပဆန,PaHsaNa,13
426,(တတထ) တံတား,တတထ,TaTaHta,12
424,(ခအဇ) ချမ်းအေးသာစံ,ခအဇ,KhAaHsa,9
423,(ရသယ) ရွှေသောင်ယံ,ရသယ,YaThaYa,14
422,(ပစလ) ပြင်စလူ,ပစလ,PaSaLa,14
421,(ငရက) ငရုတ်ကောင်း,ငရက,NgaYaKa,14
420,(အမတ) အမာ,အမတ,AhMaTa,14
419,(တတန) တုံတာ,တတန,TaTaNa,13
418,(ပဝန) ပန်ဝိုင်,ပဝန,PaWaNa,13
417,(ပပက) ပုံပါကျင်,ပပက,PaPaKa,13
416,(နတရ) နောင်တရား,နတရ,NaTaYa,13
415,(မဖထ) မိုင်းဖျန်,မဖထ,MaPhaHta,13
414,(မငန) မိုင်းငေါ့,မငန,MaNgaNa,13
413,(မခတ) မိုင်းခုတ်,မခတ,MaKhaTa,13
412,(မထတ) မော်ထိုက်,မထတ,MaHtaTa,13
411,(ခလန) ခိုလမ်,ခလန,KaLaNa,13
410,(ကလထ) ကျိူင်းလပ်,ကလထ,KaLaHta,13
409,(ဟမန) ဟိုမိန်း,ဟမန,HaMaNa,13
408,(ဟဟန) ဟဲဟိုး,ဟဟန,HaHaNa,13
407,(အသယ) အေးသာယာ,အသယ,AhTaYa,13
406,(အတန) အင်တော,အတန,AhTaNa,13
405,(အပန) အောင်ပန်း,အပန,AhPaNa,13
404,(တပဝ) တောင်ပြိုလက်ဝဲ,တပဝ,TaPaWa,11
403,(မအတ) မအီ,မအတ,MaAhTa,11
402,(ကတလ) ကျိန္တလီ,ကတလ,KaTaLa,11
401,(ကခမ) ကျိုက္ခမီ,ကခမ,KaKhaMa,10
400,(ဥတသ) ဥတ္တရသီရိ,ဥတသ,OoTaYa,9
399,(ပဘန) ပျော်ဘွယ်,ပဘန,PaBaNa,9
398,(ငဇန) ငါန်းဇွန်,ငဇန,NgaZaNa,9
397,(ကထန) ကျောက်ထု,ကထန,KaHtaNa,8
395,(လပတ) လက်ပံတန်း,လပတ,LaPATa,7
394,(ကဝန) ကဝ,ကဝန,KaWaNa,7
393,(ပလတ) ပလောက်,ပလတ,PaLaTa,6
392,(ပကမ) ပြည်ကြီးမဏ္ဍိုင်,ပကမ,PaKaMa,6
391,(မအန) မြိတ်အနောက်,မအန,MaAhNa,6
390,(ကရရ) ကရသူရိ,ကရရ,KaYaYa,6
389,(ကလအ) ကလိန်အောင်,ကလအ,KaLaAh,6
388,(ပဆန) ပန်ဆောင်,ပဆန,PaSaNa,5
387,(မသန) မြို့သစ်,မသန,MaThaNa,5
386,(မပလ) မိုပိုင်းလွတ်,မပလ,MaPaLa,5
385,(မမတ) မြင်းမူ,မမတ,MaMaNa,5
384,(လရန) လေရှီး,လရန,LaYaNa,5
383,(လဟန) လဟယ်,လဟန,LaHaNa,5
382,(ခပန) ခမ်းပတ်,ခပန,KhaPaNa,5
381,(ကမန) ကျောက်မြောင်း,ကမန,KaMaNa,5
380,(ထပခ) ထန်ပါခွေ,ထပခ,HtaPaKha,5
379,(ဆမရ) ဆွမ္မရာ,ဆမရ,SaMaYa,5
378,(ဒဟန) ဒုံဟီး,ဒဟန,DaHaNa,5
377,(ရဇန) ရေဇွာ,ရဇန,YaZaNa,4
376,(ရခဒ) ရိဒ်ခေါဒါရ်,ရခဒ,YaKhaDa,4
375,(ဆမန) ဆမီး,ဆမန,SaMaNa,4
374,(ကခန) ကျီခါး,ကခန,KaKhaNa,4
373,(ရရသ) ရှမ်းရွာသစ်,ရရသ,YaYaTha,3
372,(ဝလမ) ဝေါလေမြိုင်,ဝလမ,WaLaMa,3
371,(သတက) သံတောင်ကြီး,သတက,ThaTaKa,3
370,(စကလ) စုကလိ,စကလ,SaKaLa,3
369,(လသန) လိပ်သို,လသန,LaThaNa,3
368,(ကမမ) ကမမောင်း,ကမမ,KaMaMa,3
367,(ဘသဆ) ဘုရားသုံးဆူ,ဘသဆ,BaThaSa,3
366,(ဘဂလ) ဘောဂလိ,ဘဂလ,BaGaLa,3
