Id,Name en,Name,Code,Created at,Updated at
15,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,YGN,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
14,Tanintharyi,တနင်္သာရီတိုင်း,TNY,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
13,Shan,ရှမ်းပြည်နယ်,SHN,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
12,Sagaing,စစ်ကိုင်းတိုင်း,SGG,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
11,Rakhine,ရခိုင်ပြည်နယ်,RKE,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
10,Naypyitaw,နေပြည်တော် နယ်မြေ,NPT,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
9,Mon,မွန်ပြည်နယ်,MON,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
8,Mandalay,မန္တလေးတိုင်း,MDY,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
7,Magway,မကွေးတိုင်း,MGW,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
6,Kayin,ကရင်ပြည်နယ်,KYN,2024-02-04 11:59:22 UTC,2024-02-04 11:59:22 UTC
5,Kayar,ကယားပြည်နယ်,KYR,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
4,Kachin,ကချင်ပြည်နယ်,KCN,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
3,Chin,ချင်းပြည်နယ်,CHN,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
2,Bago,ပဲခူးတိုင်း,BGO,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
1,Ayarwaddy,ဧရာဝတီတိုင်းဒေသကြီး,AYY,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
