Id,Name,Created at,Updated at
45,Hatha Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
12,Vinyasa Flow,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
11,Ashtanga Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
10,Yin Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
9,Restorative Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
8,Power Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
7,Prenatal Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
6,Kids Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
5,Chair Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
4,Hot Yoga (Bikram),2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
2,Kundalini Yoga,2025-05-11 20:54:00 UTC,2025-05-11 20:54:00 UTC
